"Y";"log";"logReduit";"ridge";"lasso";"elastic";"foret";"adabo";"logibo";"svm";"pm";"arbre"
"0";0,556159385908388;0,50230579853084;0,550762030823293;0,498253740621666;0,515502511309166;0,58;0,515716976910278;0,465612442216652;0,446609839493662;0,332899063825607;0,594488188976378
"0";0,246903808445149;0,281512730693537;0,33622579116443;0,334655680366414;0,37836248013689;0,462;0,398277108155505;0,426819698216047;0,80025169089831;0,332899063825607;0,30225988700565
"1";0,898847516280561;0,781997409644933;0,878999877746757;0,806671325502021;0,885289406220511;0,704;0,771008570942794;0,799483953589055;0,889086647616075;0,338735848665237;0,754934210526316
"0";0,514659806328157;0,646858247065346;0,517628176601161;0,542041775033302;0,53648206318654;0,512;0,689189166564312;0,611077485417359;0,492182611836741;0,338735848665237;0,783018867924528
"0";0,154933103307303;0,117593455763406;0,123919386152007;0,115752225249099;0,121013538139784;0,144;0,0739342806066876;0,103618331678304;0,800169375622033;0,332899063825607;0,10890609874153
"0";0,302194069423862;0,475272805799392;0,266616426163848;0,392211751968902;0,330019388400137;0,332;0,329753199786102;0,301767598863211;0,266546463238698;0,312147527933121;0,533936651583711
"0";0,050149449395312;0,0701722485579107;0,0756800823838013;0,0911212237489338;0,0803718027266419;0,08;0,0494539215735473;0,0760927251205855;0,0873323422546597;0,421224296092987;0,1734375
"0";0,0746596788817904;0,0698406888565656;0,101742700444582;0,103619148350917;0,0910450090036915;0,096;0,0633702041095595;0,0813144461531087;0,893318735254382;0,332899063825607;0,10890609874153
"1";0,95483977787139;0,898514775070886;0,946979216702046;0,8267781502365;0,923194903462144;0,65;0,77530896371391;0,864131531450239;0,931681915074845;0,329198390245438;0,783018867924528
"1";0,730208426087743;0,722822419215394;0,724282195483971;0,603163478098776;0,733923293893338;0,662;0,73390871318271;0,698970397559503;0,368458798740279;0,332899063825607;0,743243243243243
"0";0,0294536689808499;0,0553862412443985;0,0656444309851132;0,0875591940004955;0,062668044084402;0,116;0,065109764347358;0,0933643095419265;0,0593950673824409;0,329198390245438;0,150265957446809
"0";0,136793928847848;0,166460634623869;0,210189659325199;0,208266034411258;0,181456466836405;0,208;0,111180299115511;0,137732615018402;0,1405476262741;0,332868844270706;0,149889135254989
"0";0,01677395754434;0,0162198157431269;0,0327935585692215;0,0372285415489802;0,0264122870829313;0,142;0,0337745549672743;0,0655021954665883;0,96031632933459;0,332899063825607;0,10890609874153
"0";0,0769690952945743;0,0838365940337524;0,0943119193953821;0,120476630311762;0,088137322863428;0,142;0,0851470619995442;0,125494616893291;0,122746152252897;0,332868844270706;0,149889135254989
"1";0,540419184022862;0,645310444565373;0,490180855859801;0,567210039679909;0,569190482321518;0,538;0,572673676180573;0,649501145826555;0,475953717993924;0,332868844270706;0,667647058823529
"1";0,61851941993459;0,508794623076445;0,65477616214174;0,55440666445362;0,595289158409993;0,562;0,587624167483299;0,578484956437226;0,382701876405834;0,332899063825607;0,30225988700565
"0";0,0237837155403736;0,031085120654436;0,0375640899839357;0,0480021236332241;0,040999111095221;0,018;0,0368706815839137;0,0668044336275942;0,0488895511261392;0,321045398712158;0,1734375
"1";0,827437097302437;0,842563435206734;0,820027586280221;0,806049341725605;0,836036895333707;0,738;0,82800008850591;0,794393171261612;0,141851218370724;0,332899063825607;0,672897196261682
"0";0,116994846807933;0,0996728305396617;0,104004581491223;0,118759365325752;0,0909599429776899;0,11;0,084505455258759;0,128222203040567;0,149841085431895;0,338735848665237;0,150265957446809
"0";0,0335547862571605;0,0329828052500104;0,0579458182852927;0,0552122249891154;0,0484812099525186;0,086;0,0374527258139655;0,0561782064857474;0,056824768105226;0,321045398712158;0,1734375
"0";0,343221242513219;0,313697120509927;0,369800641590211;0,278490146649392;0,310366363647054;0,436;0,392274441468744;0,340244952570043;0,385082719731106;0,332868844270706;0,149889135254989
"1";0,290415940994279;0,251503816891432;0,216947628917825;0,23383012755823;0,233344182426894;0,372;0,185143770415069;0,255457073241322;0,227793860200311;0,31947660446167;0,328155339805825
